Model,Year,Miles,Location,Prices,Link,Scraped_On
 Toyota camry XLE Sedan 4D,2012,146K miles,"Chicopee, MA","$7,600",https://www.facebook.com//marketplace/item/1151677086036011/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai elantra Sport Sedan 4D,2016,150K miles,"Willimantic, CT","$5,800",https://www.facebook.com//marketplace/item/1459398438033568/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda civic LX Sedan 4D,2020,32K miles,"Wallingford, CT","$14,800",https://www.facebook.com//marketplace/item/1878719055897833/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata SE Sedan 4D,2018,100K miles,"Farmington, CT","$8,990",https://www.facebook.com//marketplace/item/1206071720757879/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata SE Sedan 4D,2015,117K miles,"New Britain, CT","$7,900",https://www.facebook.com//marketplace/item/840771840744335/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry XLE Sedan 4D,2009,120K miles,"Cromwell, CT","$4,995",https://www.facebook.com//marketplace/item/479401041446493/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan sentra SV Sedan 4D,2014,111K miles,"New Britain, CT","$5,995",https://www.facebook.com//marketplace/item/1435447687053864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan sentra S Sedan 4D,2015,109K miles,"Meriden, CT","$4,000",https://www.facebook.com//marketplace/item/1104328370664444/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry SE Sedan 4D,2018,130K miles,"West Hartford, CT","$13,800",https://www.facebook.com//marketplace/item/1409973936368997/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SL Sedan 4D,2013,96K miles,"Hartford, CT","$5,500",https://www.facebook.com//marketplace/item/803691641853277/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry SE Sedan 4D,2015,179K miles,"Watertown, CT","$6,995",https://www.facebook.com//marketplace/item/1208895990125793/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata Limited Sedan 4D,2011,135K miles,"South Windsor, CT","$5,500",https://www.facebook.com//marketplace/item/1105477283858958/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata GLS Sedan 4D,2011,133K miles,"Waterbury, CT","$3,999",https://www.facebook.com//marketplace/item/457744553786255/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Honda accord EX-L Sedan 4D,2012,140K miles,"Hartford, CT","$6,800",https://www.facebook.com//marketplace/item/1191326185336392/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan maxima S Sedan 4D,2010,104K miles,"Windsor, CT","$6,500",https://www.facebook.com//marketplace/item/1209493603763364/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan sentra,2021,24K miles · Dealership,"New Britain, CT","$14,999",https://www.facebook.com//marketplace/item/1403272340551232/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata Limited Sedan 4D,2016,199K miles · Dealership,"Hartford, CT","$5,999",https://www.facebook.com//marketplace/item/1288504095457040/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Subaru forester 2.5i Premium Sport Utility 4D,2016,115K miles,"New Britain, CT","$7,000",https://www.facebook.com//marketplace/item/1251773045793060/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SV Sedan 4D,2015,170K miles,"Milford, CT","$4,800",https://www.facebook.com//marketplace/item/1006201644378794/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan versa SV Sedan 4D,2018,46K miles,"Enfield, CT","$10,500",https://www.facebook.com//marketplace/item/1573976553147783/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Volvo s60 T5 Inscription Platinum Sedan 4D,2016,51K miles,"New Britain, CT","$11,850",https://www.facebook.com//marketplace/item/1189296782515771/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai elantra Limited Sedan 4D,2011,155K miles,"Bethany, CT","$4,600",https://www.facebook.com//marketplace/item/2745647478944042/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata SE Sedan 4D,2014,10K miles,"Hartford, CT","$3,000",https://www.facebook.com//marketplace/item/374607178972633/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Kia forte EX Sedan 4D,2014,135K miles,"Wassaic, NY",Free,https://www.facebook.com//marketplace/item/1134771571064628/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Toyota camry LE Sedan 4D,2007,139K miles,"Avon, CT","$5,500",https://www.facebook.com//marketplace/item/1080226616404125/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan altima 2.5 SV Sedan 4D,2023,112K miles,"Glastonbury, CT","$5,300",https://www.facebook.com//marketplace/item/665904702401888/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai accent GLS Sedan 4D,2013,154K miles,"New Britain, CT","$4,200",https://www.facebook.com//marketplace/item/1248520789446234/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Nissan sentra SV Sedan 4D,2016,77K miles,"New Haven, CT","$17,000",https://www.facebook.com//marketplace/item/449634608022289/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
 Hyundai sonata GLS Sedan 4D,2013,160K miles,"Berlin, CT","$4,900",https://www.facebook.com//marketplace/item/458091350184022/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af7aed136-74a7-497b-9b0f-bb1c125b98eb&__tn__=!%3AD,2024-07-03
