Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra GLS Sedan 4D,2013,93K miles,"Seymour, IN","$5,900",https://www.facebook.com//marketplace/item/1611507693026361/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota camry L Sedan 4D,2014,62K miles,"Dayton, OH","$7,210",https://www.facebook.com//marketplace/item/1708774002989116/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra SE Sedan 4D,2016,136K miles,"West Chester, OH","$5,999",https://www.facebook.com//marketplace/item/1387541938609120/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota camry LE Sedan 4D,2009,85K miles,"Cincinnati, OH","$3,500",https://www.facebook.com//marketplace/item/1181771576352657/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen passat 2.5L SE Sedan 4D,2013,113K miles,"Dayton, OH","$5,800",https://www.facebook.com//marketplace/item/2216011215442640/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota corolla S Plus Sedan 4D,2014,109K miles,"Monroe, OH","$8,900",https://www.facebook.com//marketplace/item/461825123401452/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra GLS Sedan 4D,2012,116K miles,"Cincinnati, OH","$4,930",https://www.facebook.com//marketplace/item/509913674980892/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra SE Sedan 4D,2017,137K miles Â· Dealership,"Fairfield, OH","$6,900",https://www.facebook.com//marketplace/item/3795610900674283/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota corolla L Sedan 4D,2016,113K miles,"Cincinnati, OH","$14,600",https://www.facebook.com//marketplace/item/1166478664566456/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia rio LX Sedan 4D,2016,78K miles,"Cincinnati, OH","$5,100",https://www.facebook.com//marketplace/item/1888643511642220/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai elantra GLS Sedan 4D,2007,71K miles,"Springboro, OH","$4,500",https://www.facebook.com//marketplace/item/468687522434684/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Volkswagen jetta 2.0L Sedan 4D,2013,92K miles,"Cincinnati, OH","$3,995",https://www.facebook.com//marketplace/item/1470971147139018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Nissan sentra,2017,36K miles,"West Chester, OH","$8,995",https://www.facebook.com//marketplace/item/983731793406409/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Hyundai sonata,2011,131K miles,"Dayton, OH","$4,200",https://www.facebook.com//marketplace/item/795517629377433/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Toyota corolla Sedan 4D,2011,155K miles,"Cincinnati, OH","$6,500",https://www.facebook.com//marketplace/item/483258114354813/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
 Kia forte S Sedan 4D,2017,113K miles,"Hamilton, OH",$500,https://www.facebook.com//marketplace/item/354903957580107/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A608e238a-45cd-43af-8c2a-7ffd4e4a37c3&__tn__=!%3AD,2024-07-07
