Model,Year,Miles,Location,Prices,Link,Scraped_On
 Chevrolet sonic LT Sedan 4D,2014,89K miles,"Lafayette, IN","$6,500",https://www.facebook.com//marketplace/item/1011020790008622/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Ford fiesta SE Hatchback 4D,2015,83K miles,"Lafayette, IN","$8,200",https://www.facebook.com//marketplace/item/490336853552517/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia optima LX Sedan 4D,2013,183K miles,"Lafayette, IN","$6,450",https://www.facebook.com//marketplace/item/421989800667614/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Toyota camry Hybrid Sedan 4D,2009,131K miles,"Thornton, IL","$6,500",https://www.facebook.com//marketplace/item/484819960604240/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Ford fusion SE Sedan 4D,2017,78K miles · Dealership,"Lafayette, IN","$11,900",https://www.facebook.com//marketplace/item/1199874988120078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Volkswagen jetta 1.4T SE Sedan 4D,2021,73K miles,"Lafayette, IN",$450,https://www.facebook.com//marketplace/item/427414810067420/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima 2.5 sv sedan,2022,69K miles,"Lafayette, IN",$540,https://www.facebook.com//marketplace/item/786748120250873/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan sentra SV,2017,99K miles,"Lafayette, IN","$11,900",https://www.facebook.com//marketplace/item/1683558322449643/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Acura ilx Sedan 4D,2015,79K miles · Dealership,"Lafayette, IN","$12,900",https://www.facebook.com//marketplace/item/432852626119378/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima 2.5 SL Sedan 4D,2013,104K miles,"Chicago Heights, IL","$4,500",https://www.facebook.com//marketplace/item/1157387435382338/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai elantra loaded SEL,2021,90K miles · Dealership,"Lafayette, IN","$17,900",https://www.facebook.com//marketplace/item/400520252355683/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan sentra NISMO Sedan 4D,2017,69K miles · Dealership,"Lafayette, IN","$9,900",https://www.facebook.com//marketplace/item/1158392598633764/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Hyundai sonata,2013,133K miles,"Lafayette, IN","$7,735",https://www.facebook.com//marketplace/item/826728342686808/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan altima s,2016,121K miles,"West Lafayette, IN",$347,https://www.facebook.com//marketplace/item/3870943949800606/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Nissan maxima SV Sedan 4D,2017,112K miles · Dealership,"Lafayette, IN","$11,900",https://www.facebook.com//marketplace/item/1379077016016815/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
 Kia forte S,2019,86K miles,"Lafayette, IN","$13,999",https://www.facebook.com//marketplace/item/1455657605833679/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2024-07-02
