Model,Year,Miles,Location,Prices,Link,Scraped_On
 Mazda cx-5 Grand Touring Sport Utility 4D,2015,95K miles,"Maineville, OH","$15,800",https://www.facebook.com//marketplace/item/450606384558787/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Hyundai sonata GLS Sedan 4D,2011,105K miles,"Cincinnati, OH","$3,900",https://www.facebook.com//marketplace/item/389139410382677/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Nissan versa SV Sedan 4D,2016,100K miles,"Cincinnati, OH","$4,999",https://www.facebook.com//marketplace/item/1468102077411591/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota corolla LE Sedan 4D,2010,71K miles,"Fairfield, OH","$7,899",https://www.facebook.com//marketplace/item/1695624710841197/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota camry hybrid XLE Sedan 4D,2018,124K miles,"Middletown, OH","$17,000",https://www.facebook.com//marketplace/item/3672509489658776/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Kia rio Sedan 4D,2005,52K miles,"Franklin, OH","$3,700",https://www.facebook.com//marketplace/item/1634392977405943/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Toyota corolla S Plus Sedan 4D,2014,109K miles,"Monroe, OH","$8,900",https://www.facebook.com//marketplace/item/461825123401452/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Mazda rx-8,2009,105K miles,"Covington, KY","$4,500",https://www.facebook.com//marketplace/item/1425991878072270/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.0L Sedan 4D,2013,92K miles,"Cincinnati, OH","$3,995",https://www.facebook.com//marketplace/item/1470971147139018/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.5 Sedan 4D,2006,130K miles,"Lebanon, OH","$2,000",https://www.facebook.com//marketplace/item/456443066996816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A9fd50f66-a23f-44fc-9e01-aa264d7cf22f&__tn__=!%3AD,2024-07-10
