Model,Year,Miles,Location,Prices,Link,Scraped_On
 Honda accord EX-L Sedan 4D,2011,140K miles,"Cincinnati, OH","$5,990",https://www.facebook.com//marketplace/item/1024652219659840/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 BMW 3 series 328i Coupe 2D,2009,96K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1122003765563427/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen jetta sportwagen 2.0L TDI Sport Wagon 4D,2014,118K miles,"Fort Mitchell, KY","$4,500",https://www.facebook.com//marketplace/item/758004839600204/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai sonata SE Sedan 4D,2012,148K miles,"Cincinnati, OH","$3,000",https://www.facebook.com//marketplace/item/3860018704235595/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic EX Sedan 4D,2017,79K miles,"Loveland, OH","$15,000",https://www.facebook.com//marketplace/item/886956419247442/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord Sport Sedan 4D,2018,80K miles,"Cincinnati, OH","$4,000",https://www.facebook.com//marketplace/item/1394720905249548/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla S Sedan 4D,2002,182K miles,"Latonia, KY","$2,800",https://www.facebook.com//marketplace/item/399813385862543/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen jetta 2.5L SE Sedan 4D,2012,179K miles,"Fairfield, OH","$3,500",https://www.facebook.com//marketplace/item/478194458295191/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry LE Sedan 4D,2009,230K miles,"Cincinnati, OH","$3,420",https://www.facebook.com//marketplace/item/432756156398834/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai sonata Limited Sedan 4D,2012,160K miles,"Cincinnati, OH","$3,000",https://www.facebook.com//marketplace/item/838322631559734/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda civic EX Sedan 4D,2009,180K miles,"Cincinnati, OH","$4,800",https://www.facebook.com//marketplace/item/458475810397361/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla S Sedan 4D,2016,68K miles,"Monroe, OH","$9,499",https://www.facebook.com//marketplace/item/839001347723641/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai sonata GLS Sedan 4D,2014,145K miles,"Cincinnati, OH","$5,200",https://www.facebook.com//marketplace/item/1188259665661224/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda mazda3 i Touring Value Sedan 4D,2009,155K miles,"Cincinnati, OH","$5,000",https://www.facebook.com//marketplace/item/1121641699087714/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Mazda,2007,131K miles,"Goshen, OH","$3,595",https://www.facebook.com//marketplace/item/843849801024330/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord se,2011,159K miles,"Covington, KY","$5,950",https://www.facebook.com//marketplace/item/1025445862919955/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai elantra SE Sedan 4D,2015,144K miles,"Erlanger, KY","$6,000",https://www.facebook.com//marketplace/item/994314462277360/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla LE Sedan 4D,2017,77K miles,"Cincinnati, OH","$9,900",https://www.facebook.com//marketplace/item/474354345322029/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai elantra SE Sedan 4D,2015,136K miles,"Amelia, OH","$4,500",https://www.facebook.com//marketplace/item/860093849313449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord LX Sedan 4D,2016,118K miles,"Fairfield, OH","$10,500",https://www.facebook.com//marketplace/item/832684661783220/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Nissan altima 2.5 S Sedan 4D,2015,125K miles,"West Chester, OH","$5,800",https://www.facebook.com//marketplace/item/358208397296550/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord,2012,148K miles,"Cincinnati, OH","$6,500",https://www.facebook.com//marketplace/item/1122604742169092/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla,2010,129K miles,"Cincinnati, OH","$6,400",https://www.facebook.com//marketplace/item/854494276536445/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2006,71K miles,"Monroe, OH","$6,399",https://www.facebook.com//marketplace/item/455906420732721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Jetta volkswagen sport,2011,159K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/322391417601721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen passat GLS Sedan 4D,2003,159K miles,"Middletown, OH","$3,000",https://www.facebook.com//marketplace/item/835541458523506/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota corolla L Sedan 4D,2017,140K miles,"Cincinnati, OH","$11,000",https://www.facebook.com//marketplace/item/7309949619132085/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Nissan leaf S-24 Hatchback 4D,2016,26K miles,"Fort Thomas, KY","$6,000",https://www.facebook.com//marketplace/item/3792474441038159/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry,2007,180K miles,"West Chester, OH","$3,750",https://www.facebook.com//marketplace/item/1510827582850275/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai sonata Limited Sedan 4D,2011,171K miles,"Milford, OH","$4,200",https://www.facebook.com//marketplace/item/358295863747080/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Chevrolet cruze LT Sedan 4D,2017,99K miles,"Cincinnati, OH","$6,300",https://www.facebook.com//marketplace/item/515080010876043/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai santa fe sport Sport Utility 4D,2013,77K miles,"Cincinnati, OH","$12,400",https://www.facebook.com//marketplace/item/1375680396435006/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Kia rio S Sedan 4D,2018,146K miles,"Cincinnati, OH","$7,500",https://www.facebook.com//marketplace/item/849104227129740/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai sonata SE Sedan 4D,2016,146K miles,"Fairfield, OH","$2,100",https://www.facebook.com//marketplace/item/488388567012202/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Hyundai elantra GLS Sedan 4D,2013,113K miles,"Cincinnati, OH","$5,999",https://www.facebook.com//marketplace/item/1576268196608614/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota prius c Two Hatchback 4D,2012,177K miles · Dealership,"Monroe, OH","$4,999",https://www.facebook.com//marketplace/item/458056110189372/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry,2007,149K miles,"Cincinnati, OH","$6,200",https://www.facebook.com//marketplace/item/1733706914036861/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Subaru legacy 2.5i Sport Sedan 4D,2017,83K miles,"Cincinnati, OH","$10,500",https://www.facebook.com//marketplace/item/505653638467317/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Volkswagen jetta SEL Sedan 4D,2011,204K miles,"Cincinnati, OH","$3,799",https://www.facebook.com//marketplace/item/1190467358766462/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2009,200K miles,"Cincinnati, OH","$4,250",https://www.facebook.com//marketplace/item/1507154773568761/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord Sport Sedan 4D,2015,181K miles,"Batavia, OH","$6,500",https://www.facebook.com//marketplace/item/1273920270254895/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Honda accord EX-L Sedan 4D,2010,236K miles,"Cincinnati, OH","$3,500",https://www.facebook.com//marketplace/item/2494143454129143/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Toyota camry LE Sedan 4D,2004,72K miles,"Florence, KY","$8,699",https://www.facebook.com//marketplace/item/1127703758302129/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
 Kia soul Wagon 4D,2011,355K miles,"Cincinnati, OH","$3,700",https://www.facebook.com//marketplace/item/1132041254547391/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ad707a518-1248-491d-a7cf-4548050d3f28&__tn__=!%3AD,2024-07-10
