Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai sonata SE Sedan 4D,2015,110K miles,"Monroe, OH","$6,800",https://www.facebook.com//marketplace/item/958537026012041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai Sonata,2017,59K miles,"Dayton, OH","$6,775",https://www.facebook.com//marketplace/item/1560148264565142/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2016,101K miles · Dealership,"Cincinnati, OH","$6,200",https://www.facebook.com//marketplace/item/1089579335441838/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra Limited Sedan 4D,2020,142K miles,"Cincinnati, OH","$7,900",https://www.facebook.com//marketplace/item/1594730094627868/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SE Sedan 4D,2017,172K miles · Dealership,"Cincinnati, OH","$5,995",https://www.facebook.com//marketplace/item/1024965352477612/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai accent,2014,106K miles,"Cincinnati, OH","$5,250",https://www.facebook.com//marketplace/item/327008097121503/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Mazda mazda6 i Sport Sedan 4D,2013,118K miles,"Cincinnati, OH","$5,700",https://www.facebook.com//marketplace/item/388443317565604/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra SEL Sedan 4D,2021,53K miles,"Cincinnati, OH","$18,000",https://www.facebook.com//marketplace/item/310850075293121/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Honda civic LX Sedan 4D,2012,109K miles,"Morrow, OH","$6,400",https://www.facebook.com//marketplace/item/994175035405047/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
 Hyundai elantra Limited Sedan 4D,2013,132K miles,"Cincinnati, OH","$5,299",https://www.facebook.com//marketplace/item/993128212021467/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A700a099f-a4ee-4112-b730-8d21a362b513&__tn__=!%3AD,2024-07-03
