Model,Year,Miles,Location,Prices,Link,Scraped_On
 Hyundai elantra SE Sedan 4D,2015,66K miles,"Cincinnati, OH","$7,800",https://www.facebook.com//marketplace/item/1128298298452675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Toyota corolla LE Sedan 4D,2017,77K miles,"Cincinnati, OH","$9,900",https://www.facebook.com//marketplace/item/474354345322029/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai sonata SE Sedan 4D,2015,110K miles,"Monroe, OH","$6,800",https://www.facebook.com//marketplace/item/958537026012041/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai Sonata,2017,59K miles,"Dayton, OH","$6,775",https://www.facebook.com//marketplace/item/1560148264565142/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Volkswagen jetta 2.0L S Sedan 4D,2015,46K miles,"Fairfield, OH","$10,500",https://www.facebook.com//marketplace/item/428548766824110/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra SE Sedan 4D,2016,136K miles,"West Chester, OH","$5,999",https://www.facebook.com//marketplace/item/1387541938609120/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia optima LX Sedan 4D,2017,75K miles,"Dayton, OH","$7,000",https://www.facebook.com//marketplace/item/1526108541339844/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic LX Sedan 4D,2019,30K miles,"Monroe, OH","$14,000",https://www.facebook.com//marketplace/item/458897183436121/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra SE Sedan 4D,2014,115K miles,"Cincinnati, OH","$4,500",https://www.facebook.com//marketplace/item/1442459546394990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai Sonata,2017,103K miles,"Dayton, OH","$6,500",https://www.facebook.com//marketplace/item/391565710044278/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Mazda mazda6 i Sport Sedan 4D,2011,77K miles,"Dayton, OH","$6,800",https://www.facebook.com//marketplace/item/1402737723851539/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Honda civic LX Sedan 4D,2012,109K miles,"Morrow, OH","$6,400",https://www.facebook.com//marketplace/item/994175035405047/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra GLS Sedan 4D,2012,119K miles,"Cambridge City, IN","$6,000",https://www.facebook.com//marketplace/item/491194926764843/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Hyundai elantra Limited Sedan 4D,2013,153K miles,"Cincinnati, OH","$4,995",https://www.facebook.com//marketplace/item/8206920512685874/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
 Kia sorento LX Sport Utility 4D,2016,47K miles,"Milford, OH","$8,800",https://www.facebook.com//marketplace/item/778775160785916/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A87557212-cb06-435b-817d-791d564526d7&__tn__=!%3AD,2024-07-04
