Model,Location,Miles,Prices,Link,Year,Scraped_On
 Toyota camry LE Sedan 4D,"Lafayette, IN",169K miles,"$3,150",/marketplace/item/3542147196040106/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Volkswagen jetta TDI SportWagen Sport Wagon 4D,"Crawfordsville, IN",89K miles,"$7,800",/marketplace/item/442029785302861/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Kia forte EX,"Westfield, IN",128K miles,Free,/marketplace/item/824814286216168/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Nissan altima 2.5 S Sedan 4D,"Bourbon, IN",96K miles,"$6,500",/marketplace/item/1247522643324851/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Jeep compass latitude lux 4x4,"Lafayette, IN",75K miles,$520,/marketplace/item/996747208295097/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Chevrolet cruze $8oo down,"Lafayette, IN",69K miles,$800,/marketplace/item/233707443139148/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Buick enclave Convenience Sport Utility 4D,"Cutler, IN",136K miles,"$4,500",/marketplace/item/1200184107673356/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Audi a7 Premium Plus Sedan 4D,"Lafayette, IN",115K miles,"$16,500",/marketplace/item/1851895558663488/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Mazda mazda3,"Lafayette, IN",198K miles,"$2,200",/marketplace/item/817516253650913/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2007,2024-07-02
 Chrysler 200 Limited Sedan 4D,"Lafayette, IN",140K miles,"$4,200",/marketplace/item/862335039071262/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Buick lacrosse CXS Sedan 4D,"Lafayette, IN",178K miles,"$5,900",/marketplace/item/1846861225790858/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Toyota prius c Two Hatchback 4D,"Carmel, IN",180K miles,"$6,800",/marketplace/item/402713229444966/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Dodge dakota regular cab,"West Lafayette, IN",140K miles,"$1,400",/marketplace/item/797982569125232/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2001,2024-07-02
" Chevrolet cruze 💯 approved with id, permit or drivers license","Indianapolis, IN",73K miles,"$1,000",/marketplace/item/851404449767686/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Ford taurus SEL,"Carmel, IN",69K miles,"$14,995",/marketplace/item/770695621351103/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Nissan pathfinder,"Lafayette, IN",52K miles · Dealership,"$17,900",/marketplace/item/792352723028133/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Toyota camry 👀we accept ids or permits and drivers license 😎,"Indianapolis, IN",125K miles,"$1,000",/marketplace/item/808838851288004/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Hyundai santa fe,"Westfield, IN",24K miles,"$33,000",/marketplace/item/439066412345455/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Kia forte S,"Lafayette, IN",86K miles,"$13,999",/marketplace/item/1004133841331152/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Hyundai elantra SE Sedan 4D,"Danville, IL",89K miles,"$14,282",/marketplace/item/1500262667556319/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda civic VP Sedan 4D,"Rossville, IN",105K miles,"$8,995",/marketplace/item/1168568470847995/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Hyundai sonata hybrid,"Lafayette, IN",105K miles,"$11,600",/marketplace/item/1004723314509056/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Toyota corolla se 4d sedan,"Carmel, IN",44K miles,"$19,595",/marketplace/item/363633356750418/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Acura ilx Sedan 4D,"Carmel, IN",77K miles,"$15,990",/marketplace/item/497644952750353/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Ford fusion SE Sedan 4D,"Lafayette, IN",63K miles,"$12,900",/marketplace/item/1914600542291831/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Honda civic LX Sedan 4D,"Indianapolis, IN",149K miles,"$7,500",/marketplace/item/1195628354924551/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Chevrolet cruze,"West Lafayette, IN",140K miles,"$9,950",/marketplace/item/26568820979384021/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Dodge dart limited loaded,"Lafayette, IN",50K miles · Dealership,"$11,900",/marketplace/item/987136102598902/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Dodge dart full loaded GT,"Lafayette, IN",88K miles · Dealership,"$11,900",/marketplace/item/1121422662196813/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Dodge charger SXT Sedan 4D,"Lafayette, IN",90K miles · Dealership,"$14,900",/marketplace/item/1159521935050342/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Dodge charger SXT Plus Sedan 4D,"Lafayette, IN",67K miles · Dealership,"$16,900",/marketplace/item/381717751343676/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet malibu lt full luxury,"Lafayette, IN",90K miles · Dealership,"$12,900",/marketplace/item/1013015733504746/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Dodge charger SXT Sedan 4D,"Logansport, IN",89K miles,"$14,900",/marketplace/item/412887767980686/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet impala,"Lafayette, IN",Dealership,"$11,900",/marketplace/item/25424572127133686/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Honda accord EX-L Sedan 4D,"Indianapolis, IN",139K miles,"$10,000",/marketplace/item/3633967283600622/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Chevrolet malibu LT Sedan 4D,"Indianapolis, IN",110K miles,"$4,000",/marketplace/item/383593524739280/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Chevrolet equinox Premier,"Terre Haute, IN",38K miles,"$19,000",/marketplace/item/3696638873886083/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Mazda rx-8 Sport,"Lafayette, IN",81K miles,"$5,235",/marketplace/item/1843553282737848/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Chevrolet cruze limited,"West Lafayette, IN",99K miles,"$8,400",/marketplace/item/1676693249769031/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Chevrolet cruze Eco Sedan 4D,"Lafayette, IN",171K miles,"$8,900",/marketplace/item/1866890927108594/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet impala full loaded PREMIER,"Lafayette, IN",109K miles · Dealership,"$16,900",/marketplace/item/7582927001768228/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Volkswagen passat Komfort Sedan 4D,"Lafayette, IN",200K miles,"$4,000",/marketplace/item/8131488246861718/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Chevrolet malibu,"Kokomo, IN",90K miles,"$13,900",/marketplace/item/829936525260767/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Ford f150 regular cab Xl stx 4wd,"West Lafayette, IN",78K miles,"$8,000",/marketplace/item/360078833482148/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Honda cr-v,"Lafayette, IN",135K miles,"$9,900",/marketplace/item/1057519232567476/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Ford freestyle,"Lafayette, IN",155K miles,$750,/marketplace/item/999184088285285/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2005,2024-07-02
 Volkswagen jetta TDI SportWagen Sport Wagon 4D,"Lebanon, IN",151K miles,"$5,500",/marketplace/item/338523275967070/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2011,2024-07-02
 Chevrolet camaro LT Coupe 2D,"Lafayette, IN",161K miles,"$8,200",/marketplace/item/474215608417532/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge dart Limited Sedan 4D,"Monon, IN",154K miles,"$4,500",/marketplace/item/1458662321401481/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Hyundai veloster N,"Noblesville, IN",17K miles,"$22,399",/marketplace/item/510988914646523/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Kia rio,"Roachdale, IN",149K miles,"$2,200",/marketplace/item/436763032309828/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Toyota prius,"Lafayette, IN",112K miles,"$11,150",/marketplace/item/1669861347162613/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Mazda mazda3,"Delphi, IN",286K miles,"$1,000",/marketplace/item/2867684570064294/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge charger SXT Sedan 4D,"Logansport, IN",89K miles,"$14,900",/marketplace/item/408691115206021/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Toyota corolla hybrid LE Sedan 4D,"Lafayette, IN",56K miles,$449,/marketplace/item/1349962372358141/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Ford fusion SE Hybrid Sedan 4D,"Indianapolis, IN",200K miles,"$3,500",/marketplace/item/440244068912373/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Kia soul ! Wagon 4D,"West Lafayette, IN",105K miles,$341,/marketplace/item/1140065390775212/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Mazda rx-8 Coupe 4D,"Flora, IN",89K miles,"$1,850",/marketplace/item/7414264368677995/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2004,2024-07-02
 Acura tsx  $800 down,"Lafayette, IN",89K miles,$800,/marketplace/item/1076433643569674/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet trax,"Brook, IN",85K miles,"$7,995",/marketplace/item/1174059820694584/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Chevrolet malibu,"West Lafayette, IN",212K miles,"$5,500",/marketplace/item/438726175711424/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Lexus rx 350,"Mishawaka, IN",129K miles,"$8,990",/marketplace/item/1114838386251664/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2009,2024-07-02
 Mercedes-Benz c300 4matic sport sedan 4d,"Lafayette, IN",136K miles,"$10,900",/marketplace/item/1002419018025640/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Dodge dart sxt sport,"Lafayette, IN",148K miles,"$1,899",/marketplace/item/481830544414563/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Pontiac solstice Convertible 2D,"Indianapolis, IN",33K miles,"$6,000",/marketplace/item/452924877456253/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Chevrolet impala lt $1000 down,"Lafayette, IN",83K miles,"$1,000",/marketplace/item/414493707667659/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Dodge journey,"West Lafayette, IN",141K miles,"$6,500",/marketplace/item/1298265464903319/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet trax fwd 1LT,"Lafayette, IN",118K miles · Dealership,"$9,900",/marketplace/item/466258142483597/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Honda accord EX-L Sedan 4D,"Indianapolis, IN",120K miles,"$1,000",/marketplace/item/996197978365516/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2008,2024-07-02
 Chevrolet equinox lt,"Wolcott, IN",247K miles,"$4,000",/marketplace/item/919706386576467/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Ford mustang Coupe 2D,"Lafayette, IN",110K miles,"$3,500",/marketplace/item/3799537470323695/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1996,2024-07-02
 Volkswagen cabrio Convertible 2D,"Rockville, IN",102K miles,"$5,000",/marketplace/item/3295671544074505/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1995,2024-07-02
 Ford ranger regular cab Long Bed,"West Lafayette, IN",169K miles,"$4,900",/marketplace/item/1107797320314311/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,1999,2024-07-02
 Chevrolet malibu LTZ,"Lafayette, IN",230K miles,"$3,300",/marketplace/item/1499419407449644/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"Lafayette, IN",71K miles,$460,/marketplace/item/959127085675536/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Chevrolet trax LTZ Sport Utility 4D,"Avon, IN",150K miles,"$4,950",/marketplace/item/1742054559966647/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 MINI Cooper Hatchback 2D,"Lafayette, IN",157K miles,"$3,895",/marketplace/item/485564390574550/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Chevrolet silverado 1500 regular cab Work Truck Pickup 2D 6 1/2 ft,"Lafayette, IN",9.9K miles,$599,/marketplace/item/479648938048396/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2022,2024-07-02
 Chevrolet blazer rs,"Lafayette, IN",57K miles,"$27,935",/marketplace/item/841710600623002/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Ford escape,"Lafayette, IN",Dealership,"$17,900",/marketplace/item/1113220643184732/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Buick regal turbo,"Lafayette, IN",29K miles,"$13,900",/marketplace/item/1016494839863053/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Chevrolet traverse,"Lafayette, IN",Dealership,"$18,900",/marketplace/item/940480330582263/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Chevrolet equinox,"Lafayette, IN",178K miles,"$5,900",/marketplace/item/8565430960139315/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Hyundai elantra Sport Sedan 4D,"Lafayette, IN",52K miles · Dealership,"$15,900",/marketplace/item/927575319169284/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Honda civic LX Sedan 4D,"Logansport, IN",90K miles,"$7,500",/marketplace/item/412246758481197/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2012,2024-07-02
 Chevrolet malibu,"Lafayette, IN",44K miles · Dealership,"$13,900",/marketplace/item/446050364954850/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Honda accord,"Carmel, IN",90K miles,"$11,995",/marketplace/item/874458898042525/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2010,2024-07-02
 Nissan rogue sport,"Lafayette, IN",57K miles · Dealership,"$14,900",/marketplace/item/482240850956357/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Nissan rogue,"Lafayette, IN",Dealership,"$15,900",/marketplace/item/7559687177455875/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Nissan altima 2.5 loaded,"Lafayette, IN",116K miles · Dealership,"$14,900",/marketplace/item/561444676038832/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2018,2024-07-02
 Hyundai genesis coupe 2.0T Coupe 2D,"Plainfield, IL",135K miles,"$8,500",/marketplace/item/25929642113317261/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2013,2024-07-02
 Chevrolet spark,"West Lafayette, IN",103K miles,"$6,800",/marketplace/item/1017079333403994/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Nissan versa,"Brook, IN",95K miles,"$7,995",/marketplace/item/902448735228835/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Chevrolet malibu lt,"Logansport, IN",110K miles,"$10,995",/marketplace/item/1216964856407949/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2016,2024-07-02
 Dodge dart full loaded GT,"Lafayette, IN",88K miles · Dealership,"$11,900",/marketplace/item/365380333152528/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2014,2024-07-02
 Nissan altima,"Lebanon, IN",76K miles,"$18,997",/marketplace/item/1032555831826204/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2021,2024-07-02
 Nissan mÁxima 3.5s loaded SV,"Lafayette, IN",75K miles · Dealership,"$14,900",/marketplace/item/1097248621476360/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Dodge charger SXT Sedan 4D,"Lafayette, IN",39K miles · Dealership,"$22,900",/marketplace/item/1622425821891465/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Ford fusion se sedan,"Fishers, IN",56K miles,"$15,889",/marketplace/item/3705909582991727/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Infiniti q50 awd full loaded LUXURY,"Lafayette, IN",58K miles · Dealership,"$21,900",/marketplace/item/310410248734756/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
 Audi a4 2.0T Quattro Sedan 4D,"Lafayette, IN",175K miles,"$3,200",/marketplace/item/983493663477334/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2006,2024-07-02
 Volkswagen golf alltrack TSI SE Wagon 4D,"West Lafayette, IN",65K miles,"$16,500",/marketplace/item/1088939858821613/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2017,2024-07-02
 Chrysler 200S Sedan 4D,"Gary, IN",132K miles,"$3,900",/marketplace/item/438355492411571/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Subaru Legacy,"Lafayette, IN",66K miles,"$20,900",/marketplace/item/1004874284337304/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2020,2024-07-02
 Kia soul Wagon 4D,"Thorntown, IN",152K miles · Dealership,"$4,995",/marketplace/item/1510942286527680/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2015,2024-07-02
 Chevrolet equinox LT Sport Utility 4D,"Lafayette, IN",67K miles,$440,/marketplace/item/427497436851956/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ab6e566e2-06c5-4430-a627-087647b93147&__tn__=!%3AD,2019,2024-07-02
