,Model,Year,Miles,Location,Prices,Link,Scraped_On,Dealership
144," Toyota rav4 ""Sport"" Sport Utility 4D",2008.0,141000.0,"Lafayette, IN","$8,000",https://www.facebook.com//marketplace/item/472075935472205/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
156, Toyota 4runner Limited Sport Utility 4D,2005.0,221000.0,"West Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/1143199346921222/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
158, Honda accord EX Sedan 4D,2000.0,230000.0,"Lafayette, IN","$1,000",https://www.facebook.com//marketplace/item/1795165607640194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
162, Toyota sienna Limited Minivan 4D,2014.0,157000.0,"Lafayette, IN","$14,995",https://www.facebook.com//marketplace/item/1635274623844694/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
168, Toyota highlander Limited Sport Utility 4D,2008.0,144000.0,"West Lafayette, IN","$10,999",https://www.facebook.com//marketplace/item/1582973225581951/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
174, Toyota matrix XR Sport Wagon 4D,2003.0,149000.0,"Indianapolis, IN","$4,600",https://www.facebook.com//marketplace/item/309609822245406/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
177, Toyota tacoma regular cab Pickup 2D 6 ft,1990.0,129000.0,"Lafayette, IN","$3,500",https://www.facebook.com//marketplace/item/469784052661276/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
183, Toyota camry LE Sedan 4D,2015.0,132000.0,"Lafayette, IN","$11,500",https://www.facebook.com//marketplace/item/1500314423901386/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
209, Toyota corolla LE Sedan 4D,2008.0,190000.0,"Lafayette, IN","$2,500",https://www.facebook.com//marketplace/item/1200917184229056/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
211, Toyota corolla L Sedan 4D,2013.0,108000.0,"Lafayette, IN","$9,987",https://www.facebook.com//marketplace/item/1147366486627567/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
216, Honda pilot Touring Sport Utility 4D,2012.0,130000.0,"Lafayette, IN","$11,500",https://www.facebook.com//marketplace/item/1887250955038034/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
220, Toyota tacoma xtracab PreRunner Pickup,1999.0,192000.0,"West Lafayette, IN","$10,450",https://www.facebook.com//marketplace/item/381884587801178/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
221, Honda accord EX-L Sedan 4D,2006.0,204000.0,"Battle Ground, IN","$3,900",https://www.facebook.com//marketplace/item/1029594341965519/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
223, Honda odyssey EX-L Minivan 4D,2010.0,205000.0,"West Lafayette, IN","$4,900",https://www.facebook.com//marketplace/item/792592623064065/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
229, Honda accord,2012.0,58000.0,"Lafayette, IN","$12,990",https://www.facebook.com//marketplace/item/1167179787916509/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
230, Honda civic Si Sedan 4D,2013.0,130000.0,"Lafayette, IN","$11,500",https://www.facebook.com//marketplace/item/1500155584230014/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
241, Honda accord ex,2004.0,183000.0,"Westfield, IN","$4,000",https://www.facebook.com//marketplace/item/839677338085958/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
251, Honda cr-v SE Sport Utility 4D,2005.0,280000.0,"Dayton, IN","$4,500",https://www.facebook.com//marketplace/item/1177737863376033/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
258, Toyota 4 runner sr5,2006.0,,"Lafayette, IN","$10,000",https://www.facebook.com//marketplace/item/1200172871172735/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
264, Toyota 4runner SR5 Sport Utility 4D,2006.0,160000.0,"Frankfort, IN","$10,000",https://www.facebook.com//marketplace/item/1220576985604436/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
279, Toyota t100 xtracab SR5 Pickup,1996.0,287000.0,"Lafayette, IN","$2,700",https://www.facebook.com//marketplace/item/1495475987731901/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
280, Honda accord,2013.0,163000.0,"Indianapolis, IN",$2,https://www.facebook.com//marketplace/item/3737508796522857/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
281, Toyota corolla CE Sedan 4D,2008.0,108000.0,"Lafayette, IN","$7,300",https://www.facebook.com//marketplace/item/305504339296203/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
283, Honda civic sport touring,2020.0,49000.0,"Lafayette, IN","$23,900",https://www.facebook.com//marketplace/item/775594677845831/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
287, Honda accord SE Sedan 4D,2011.0,181000.0,"Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/1048955119512464/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
289, Toyota corolla L Sedan 4D,2013.0,108000.0,"West Lafayette, IN","$9,857",https://www.facebook.com//marketplace/item/329853510113818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
290, Honda civic LX Sedan 4D,2014.0,119000.0,"Lafayette, IN","$11,997",https://www.facebook.com//marketplace/item/399272423112370/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
294, Toyota rav4 LE Sport Utility 4D,2020.0,42000.0,"Lafayette, IN","$23,000",https://www.facebook.com//marketplace/item/458643123768799/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
300, Honda civic LX Sedan 4D,2009.0,95000.0,"Lafayette, IN","$9,000",https://www.facebook.com//marketplace/item/935635875002032/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
309, Honda civic LX Sedan 4D,2018.0,55000.0,"Lafayette, IN","$14,500",https://www.facebook.com//marketplace/item/1371952113486912/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
314, Toyota rav4 Adventure Sport Utility 4D,2019.0,36000.0,"Delphi, IN","$31,500",https://www.facebook.com//marketplace/item/1505271176861010/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
315, Toyota 4runner awd SR5,2014.0,180000.0,"Lafayette, IN","$19,900",https://www.facebook.com//marketplace/item/1290385521917880/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
317, Honda ridgeline rtl 4x4 3.5,2006.0,255000.0,"Lafayette, IN","$6,000",https://www.facebook.com//marketplace/item/497058936110095/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
318, Honda pilot EX Sport Utility 4D,2012.0,271000.0,"Lafayette, IN","$6,600",https://www.facebook.com//marketplace/item/901501737727748/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
330, Honda civic Si Sedan 4D,2009.0,159000.0,"Lafayette, IN","$7,000",https://www.facebook.com//marketplace/item/863136042323684/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
352, Honda civic EX Coupe 2D,2002.0,200000.0,"Lafayette, IN","$1,000",https://www.facebook.com//marketplace/item/438716655232248/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
355, Honda civic EX Coupe 2D,2003.0,120000.0,"Lafayette, IN","$3,200",https://www.facebook.com//marketplace/item/3658989837651456/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
358, Honda accord Sport Sedan 4D,2017.0,75000.0,"Lafayette, IN","$15,000",https://www.facebook.com//marketplace/item/1202664584445313/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
359, Toyota camry SE Sedan 4D,2019.0,94000.0,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/2064403513953222/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
361, Honda civic,2019.0,66000.0,"Lafayette, IN","$15,900",https://www.facebook.com//marketplace/item/1236215000699948/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
364, Honda accord EX-L Sedan 4D,2005.0,180000.0,"Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/1127612448246977/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
372, Honda civic type r Touring Hatchback Sedan 4D,2021.0,29000.0,"Lafayette, IN","$40,000",https://www.facebook.com//marketplace/item/847038750097267/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
380, Honda civic EX Sedan 4D,2002.0,237000.0,"Lafayette, IN","$3,000",https://www.facebook.com//marketplace/item/382196367644687/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
382, Toyota rav4,2020.0,35000.0,"Lafayette, IN","$24,900",https://www.facebook.com//marketplace/item/1716208815577079/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
384, Toyota corolla LE Sedan 4D,2008.0,190000.0,"Lafayette, IN","$2,500",https://www.facebook.com//marketplace/item/3886525738336776/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
385, Honda civic,2016.0,76000.0,"West Lafayette, IN","$13,800",https://www.facebook.com//marketplace/item/814181030689976/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
388, Honda pilot Touring Sport Utility 4D,2013.0,122000.0,"Lafayette, IN","$14,999",https://www.facebook.com//marketplace/item/797401145892809/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
391, Honda accord Sport Sedan 4D,2018.0,80000.0,"Lafayette, IN","$17,900",https://www.facebook.com//marketplace/item/1661652911330451/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,True
393, Toyota gr corolla Circuit Edition Hatchback 4D,2024.0,300.0,"Lafayette, IN","$49,248",https://www.facebook.com//marketplace/item/1117132726041156/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
414, Honda ridgeline RT Pickup 4D 5 ft,2008.0,247000.0,"Lafayette, IN","$4,500",https://www.facebook.com//marketplace/item/308505671516868/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Af63fbce9-cd6a-46f2-998a-80da563f93e7&__tn__=!%3AD,2024-07-10,False
